Issue Number,Issue Title,Issue Author(s),Issue Editor(s),Keywords
"#0","Should Democracy Be Compulsory?","Maxtopia","Maxtopia",""
"#1","Where's The Love Gone?","Maxtopia","Maxtopia",""
"#2","Reclaim The Streets!","Maxtopia","Maxtopia",""
"#3","Harry Potter Censorship Row","Maxtopia","Maxtopia",""
"#4","Economic Collapse Looms!","Maxtopia","Maxtopia",""
"#5","Child Casino Shock","Maxtopia","Maxtopia",""
"#6","Appointment Of Spiritual Advisor","Maxtopia","Maxtopia",""
"#7","Animal Liberation Front Strikes Again","Maxtopia","Maxtopia",""
"#8","Nudists Demand Time In Sun","Maxtopia","Maxtopia",""
"#9","@@ANIMALPLURAL@@ On The Dinner Table?","Maxtopia","Maxtopia",""
"#10","Social Inequality Reaching Embarrassing Levels","Maxtopia","Maxtopia",""
"#11","People Request Not So Much Dictatorship, If That's All Right","Maxtopia","Maxtopia",""
"#12","Death Penalty On Agenda","Maxtopia","Maxtopia",""
"#13","Too Much Yakking, Already, Say Delegation","Maxtopia","Maxtopia",""
"#14","Military Demands Increased Spending","Maxtopia","Maxtopia",""
"#15","More Police Needed","Maxtopia","Maxtopia",""
"#16","@@MAJORINDUSTRY@@ Workers Strike!","Maxtopia","Maxtopia",""
"#17","Corporations Demand Political Say","Maxtopia","Maxtopia",""
"#18","Citizens Struggle Under \"Unfair\" Tax Burden","Maxtopia","Maxtopia",""
"#19","@@NAME@@ Awash With Red-Rimmed Eyes","Maxtopia","Maxtopia",""
"#20","Gunman Kills Three","Maxtopia","Maxtopia, Luna Amore",""
"#21","Police Consider \"Big Brother\" Anti-Crime System","Maxtopia","Maxtopia",""
"#22","Nazi Sympathizers Plan Rally","Maxtopia","Maxtopia",""
"#23","Uranium Deposit Promises To Enrich @@NAME@@","Maxtopia","Maxtopia",""
"#24","Budget Time: Accountants Excited","Maxtopia","Maxtopia",""
"#25","Cloning Research Promises New Breakthrough","Maxtopia","Maxtopia",""
"#26","Compulsory Organ Harvesting Proposed","Maxtopia","Maxtopia",""
"#27","Cash for Colons?","Maxtopia","Maxtopia",""
"#28","Cancer Sufferer Demands Euthanasia Bill","Maxtopia","Maxtopia",""
"#29","Minorities Demand Representation In TV Soaps","Maxtopia","Maxtopia",""
